state,year,poverty_absolute,poverty_hardcore,poverty_relative
Johor,2002,0.07114624505928854,0.028985507246376812,0.687116564417178
Johor,2004,0.07905138339920949,0.043478260869565216,0.638036809815951
Johor,2007,0.05928853754940711,0.028985507246376812,0.5705521472392638
Johor,2009,0.05138339920948617,0.014492753623188406,0.7546012269938651
Johor,2012,0.03557312252964427,0.014492753623188406,0.687116564417178
Johor,2014,0.0,0.0,0.32515337423312884
Johor,2016,0.0,0.0,0.5276073619631902
Johor,2019,0.1541501976284585,0.028985507246376812,0.638036809815951
Johor,2020,0.233201581027668,0.08695652173913043,0.5521472392638038
Johor,2022,0.1818181818181818,0.014492753623188406,0.6748466257668713
Kedah,2002,0.4229249011857707,0.43478260869565216,0.8343558282208591
Kedah,2004,0.2766798418972332,0.18840579710144928,0.6625766871165645
Kedah,2007,0.1225296442687747,0.043478260869565216,0.42331288343558293
Kedah,2009,0.20948616600790512,0.11594202898550725,0.6809815950920246
Kedah,2012,0.06719367588932806,0.014492753623188406,0.7116564417177915
Kedah,2014,0.011857707509881422,0.0,0.441717791411043
Kedah,2016,0.007905138339920948,0.0,0.6748466257668713
Kedah,2019,0.3478260869565218,0.07246376811594203,0.3680981595092025
Kedah,2020,0.5019762845849802,0.21739130434782608,0.3128834355828221
Kedah,2022,0.3557312252964427,0.043478260869565216,0.42944785276073627
Kelantan,2002,0.4901185770750988,0.5217391304347826,0.6441717791411045
Kelantan,2004,0.41897233201581024,0.18840579710144928,0.441717791411043
Kelantan,2007,0.2845849802371542,0.21739130434782608,0.32515337423312884
Kelantan,2009,0.18972332015810275,0.14492753623188406,0.3987730061349694
Kelantan,2012,0.10671936758893281,0.043478260869565216,0.5766871165644173
Kelantan,2014,0.03557312252964427,0.028985507246376812,0.46012269938650313
Kelantan,2016,0.015810276679841896,0.014492753623188406,0.441717791411043
Kelantan,2019,0.4901185770750988,0.14492753623188406,0.3067484662576688
Kelantan,2020,0.8379446640316205,0.5942028985507245,0.3987730061349694
Kelantan,2022,0.5217391304347826,0.11594202898550725,0.44785276073619634
Melaka,2002,0.10671936758893281,0.014492753623188406,0.687116564417178
Melaka,2004,0.07114624505928854,0.028985507246376812,0.6993865030674848
Melaka,2007,0.07114624505928854,0.028985507246376812,0.7116564417177915
Melaka,2009,0.019762845849802372,0.014492753623188406,0.6073619631901842
Melaka,2012,0.003952569169960474,0.0,0.6441717791411045
Melaka,2014,0.003952569169960474,0.0,0.23926380368098166
Melaka,2016,0.0,0.0,0.3558282208588957
Melaka,2019,0.1541501976284585,0.043478260869565216,0.7423312883435584
Melaka,2020,0.2411067193675889,0.15942028985507248,0.5828220858895706
Melaka,2022,0.16600790513833993,0.014492753623188406,0.5092024539877301
Negeri Sembilan,2002,0.08695652173913045,0.043478260869565216,0.8098159509202456
Negeri Sembilan,2004,0.05533596837944663,0.028985507246376812,0.7300613496932516
Negeri Sembilan,2007,0.05138339920948617,0.014492753623188406,0.638036809815951
Negeri Sembilan,2009,0.027667984189723317,0.014492753623188406,0.4785276073619632
Negeri Sembilan,2012,0.019762845849802372,0.014492753623188406,0.6503067484662578
Negeri Sembilan,2014,0.015810276679841896,0.014492753623188406,0.4969325153374234
Negeri Sembilan,2016,0.007905138339920948,0.0,0.6503067484662578
Negeri Sembilan,2019,0.16996047430830039,0.057971014492753624,0.4110429447852761
Negeri Sembilan,2020,0.25691699604743085,0.17391304347826086,0.34355828220858897
Negeri Sembilan,2022,0.1739130434782609,0.014492753623188406,0.5153374233128836
Pahang,2002,0.15019762845849802,0.014492753623188406,0.48466257668711665
Pahang,2004,0.15810276679841898,0.14492753623188406,0.5582822085889572
Pahang,2007,0.06719367588932806,0.057971014492753624,0.2760736196319019
Pahang,2009,0.08300395256916997,0.043478260869565216,0.4355828220858896
Pahang,2012,0.05138339920948617,0.028985507246376812,0.4785276073619632
Pahang,2014,0.027667984189723317,0.0,0.441717791411043
Pahang,2016,0.007905138339920948,0.0,0.20245398773006132
Pahang,2019,0.16996047430830039,0.014492753623188406,0.0674846625766871
Pahang,2020,0.3478260869565218,0.14492753623188406,0.14723926380368096
Pahang,2022,0.24901185770750986,0.014492753623188406,0.17177914110429449
Perak,2002,0.3122529644268775,0.18840579710144928,0.7791411042944787
Perak,2004,0.19367588932806326,0.15942028985507248,0.8282208588957055
Perak,2007,0.13438735177865613,0.10144927536231883,0.5766871165644173
Perak,2009,0.1383399209486166,0.07246376811594203,0.5153374233128836
Perak,2012,0.05928853754940711,0.028985507246376812,0.8404907975460125
Perak,2014,0.027667984189723317,0.014492753623188406,0.6809815950920246
Perak,2016,0.007905138339920948,0.0,0.5644171779141105
Perak,2019,0.2885375494071146,0.07246376811594203,0.392638036809816
Perak,2020,0.4505928853754941,0.21739130434782608,0.3803680981595092
Perak,2022,0.2964426877470356,0.028985507246376812,0.5276073619631902
Perlis,2002,0.3992094861660079,0.2608695652173913,0.8957055214723928
Perlis,2004,0.24901185770750986,0.24637681159420288,0.6687116564417179
Perlis,2007,0.26877470355731226,0.20289855072463767,0.8588957055214724
Perlis,2009,0.23715415019762845,0.11594202898550725,0.7423312883435584
Perlis,2012,0.07509881422924901,0.07246376811594203,0.8773006134969326
Perlis,2014,0.007905138339920948,0.0,0.31901840490797545
Perlis,2016,0.003952569169960474,0.0,0.4355828220858896
Perlis,2019,0.1541501976284585,0.043478260869565216,0.4355828220858896
Perlis,2020,0.391304347826087,0.20289855072463767,0.5766871165644173
Perlis,2022,0.15810276679841898,0.014492753623188406,0.47239263803680986
Pulau Pinang,2002,0.05533596837944663,0.043478260869565216,0.9447852760736198
Pulau Pinang,2004,0.011857707509881422,0.0,0.6687116564417179
Pulau Pinang,2007,0.05533596837944663,0.014492753623188406,0.6319018404907976
Pulau Pinang,2009,0.04743083003952569,0.014492753623188406,0.6441717791411045
Pulau Pinang,2012,0.023715415019762844,0.0,0.7116564417177915
Pulau Pinang,2014,0.011857707509881422,0.0,0.46012269938650313
Pulau Pinang,2016,0.003952569169960474,0.0,0.10429447852760734
Pulau Pinang,2019,0.07509881422924901,0.014492753623188406,0.5092024539877301
Pulau Pinang,2020,0.13043478260869565,0.043478260869565216,0.44785276073619634
Pulau Pinang,2022,0.07905138339920949,0.014492753623188406,0.638036809815951
Sabah,2002,0.6324110671936759,0.4492753623188406,0.993865030674847
Sabah,2004,0.9565217391304347,1.0,1.0
Sabah,2007,0.6482213438735177,0.5507246376811593,0.6687116564417179
Sabah,2009,0.7786561264822134,0.6956521739130435,0.8957055214723928
Sabah,2012,0.3201581027667984,0.2318840579710145,0.8404907975460125
Sabah,2014,0.15810276679841898,0.08695652173913043,0.6993865030674848
Sabah,2016,0.11462450592885375,0.028985507246376812,0.7791411042944787
Sabah,2019,0.7707509881422925,0.21739130434782608,0.6012269938650308
Sabah,2020,1.0,0.391304347826087,0.5092024539877301
Sabah,2022,0.7786561264822134,0.17391304347826086,0.588957055214724
Sarawak,2002,0.2292490118577075,0.08695652173913043,0.8036809815950922
Sarawak,2004,0.2964426877470356,0.15942028985507248,0.6257668711656442
Sarawak,2007,0.16600790513833993,0.10144927536231883,0.5337423312883436
Sarawak,2009,0.20948616600790512,0.14492753623188406,0.7055214723926381
Sarawak,2012,0.09486166007905138,0.043478260869565216,0.9018404907975462
Sarawak,2014,0.03557312252964427,0.014492753623188406,0.7484662576687119
Sarawak,2016,0.023715415019762844,0.014492753623188406,0.7300613496932516
Sarawak,2019,0.3557312252964427,0.057971014492753624,0.6319018404907976
Sarawak,2020,0.5098814229249012,0.13043478260869565,0.4539877300613498
Sarawak,2022,0.42687747035573126,0.057971014492753624,0.6932515337423314
Selangor,2002,0.04347826086956522,0.028985507246376812,0.7607361963190186
Selangor,2004,0.039525691699604744,0.0,0.7914110429447855
Selangor,2007,0.027667984189723317,0.014492753623188406,0.6809815950920246
Selangor,2009,0.027667984189723317,0.014492753623188406,0.6932515337423314
Selangor,2012,0.015810276679841896,0.0,0.6564417177914111
Selangor,2014,0.007905138339920948,0.0,0.3803680981595092
Selangor,2016,0.0,0.0,0.3558282208588957
Selangor,2019,0.04743083003952569,0.028985507246376812,0.638036809815951
Selangor,2020,0.06719367588932806,0.043478260869565216,0.5521472392638038
Selangor,2022,0.05928853754940711,0.0,0.5705521472392638
Terengganu,2002,0.4229249011857707,0.40579710144927533,0.6687116564417179
Terengganu,2004,0.6086956521739131,0.6376811594202899,0.687116564417178
Terengganu,2007,0.25296442687747034,0.11594202898550725,0.5153374233128836
Terengganu,2009,0.15810276679841898,0.07246376811594203,0.441717791411043
Terengganu,2012,0.06719367588932806,0.028985507246376812,0.9570552147239265
Terengganu,2014,0.023715415019762844,0.014492753623188406,0.5398773006134969
Terengganu,2016,0.015810276679841896,0.0,0.32515337423312884
Terengganu,2019,0.2411067193675889,0.043478260869565216,0.20245398773006132
Terengganu,2020,0.4743083003952569,0.15942028985507248,0.3558282208588957
Terengganu,2022,0.2450592885375494,0.028985507246376812,0.12269938650306751
W.P. Kuala Lumpur,2002,0.019762845849802372,0.0,0.8159509202453988
W.P. Kuala Lumpur,2004,0.05928853754940711,0.028985507246376812,0.8466257668711658
W.P. Kuala Lumpur,2007,0.05928853754940711,0.014492753623188406,0.7914110429447855
W.P. Kuala Lumpur,2009,0.027667984189723317,0.014492753623188406,0.7300613496932516
W.P. Kuala Lumpur,2012,0.03162055335968379,0.014492753623188406,0.4539877300613498
W.P. Kuala Lumpur,2014,0.003952569169960474,0.0,0.5153374233128836
W.P. Kuala Lumpur,2016,0.0,0.0,0.5460122699386504
W.P. Kuala Lumpur,2019,0.007905138339920948,0.0,0.34969325153374237
W.P. Kuala Lumpur,2020,0.015810276679841896,0.0,0.25766871165644173
W.P. Kuala Lumpur,2022,0.05533596837944663,0.0,0.4785276073619632
W.P. Labuan,2004,0.10671936758893281,0.028985507246376812,0.5644171779141105
W.P. Labuan,2007,0.16600790513833993,0.014492753623188406,0.638036809815951
W.P. Labuan,2009,0.16996047430830039,0.10144927536231883,0.7975460122699387
W.P. Labuan,2012,0.04347826086956522,0.0,0.7791411042944787
W.P. Labuan,2014,0.04347826086956522,0.014492753623188406,0.5644171779141105
W.P. Labuan,2016,0.0,0.0,0.4110429447852761
W.P. Labuan,2019,0.1225296442687747,0.0,0.49079754601227005
W.P. Labuan,2020,0.20553359683794467,0.014492753623188406,0.42331288343558293
W.P. Labuan,2022,0.09881422924901186,0.0,0.12883435582822086
W.P. Putrajaya,2007,0.0,0.0,0.717791411042945
W.P. Putrajaya,2009,0.0,0.0,0.3803680981595092
W.P. Putrajaya,2012,0.0,0.0,0.0
W.P. Putrajaya,2014,0.0,0.0,0.18404907975460125
W.P. Putrajaya,2016,0.0,0.0,0.1165644171779141
W.P. Putrajaya,2019,0.015810276679841896,0.0,0.441717791411043
W.P. Putrajaya,2020,0.007905138339920948,0.0,0.38650306748466257
W.P. Putrajaya,2022,0.003952569169960474,0.0,0.3987730061349694
